,ALT,BRPR_1,BRPR_2,BRPR_3,BRPR_4,BRPR_5,BRPR_6,BRPR_7,BRPR_8,BRWHSP_1,BRWHSP_2,BRWHSP_3,BRWHSP_4,BRWHSP_5,BRWHSP_6,BRWHSP_7,BRWHSP_8,milliseconds,Time,phase
1,,,,,,,,,,,,,,,,,,0.0,2025-01-02 18:04:04,takeoff
5,323.0,90.625,90.625,92.4375,92.4375,74.3125,74.3125,72.5,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2025-01-02 18:04:05,takeoff
9,324.0,92.4375,90.625,94.25,90.625,74.3125,74.3125,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2025-01-02 18:04:06,takeoff
13,323.0,90.625,92.4375,92.4375,92.4375,74.3125,74.3125,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,2025-01-02 18:04:07,takeoff
17,323.0,90.625,90.625,92.4375,92.4375,74.3125,74.3125,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,2025-01-02 18:04:08,takeoff
21,323.0,92.4375,92.4375,92.4375,92.4375,74.3125,72.5,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,2025-01-02 18:04:09,takeoff
25,323.0,90.625,90.625,92.4375,92.4375,72.5,74.3125,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,2025-01-02 18:04:10,takeoff
29,323.0,90.625,92.4375,90.625,92.4375,74.3125,74.3125,72.5,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,2025-01-02 18:04:11,takeoff
33,323.0,92.4375,92.4375,90.625,92.4375,74.3125,72.5,76.125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,2025-01-02 18:04:12,takeoff
37,323.0,90.625,90.625,92.4375,90.625,74.3125,74.3125,72.5,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,2025-01-02 18:04:13,takeoff
41,323.0,92.4375,92.4375,92.4375,92.4375,74.3125,74.3125,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,2025-01-02 18:04:14,takeoff
45,323.0,92.4375,92.4375,90.625,92.4375,72.5,72.5,72.5,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,2025-01-02 18:04:15,takeoff
49,323.0,92.4375,92.4375,92.4375,92.4375,76.125,72.5,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,2025-01-02 18:04:16,takeoff
53,324.0,92.4375,92.4375,90.625,90.625,74.3125,72.5,74.3125,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,2025-01-02 18:04:17,takeoff
57,323.0,90.625,92.4375,90.625,90.625,74.3125,72.5,74.3125,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000.0,2025-01-02 18:04:18,takeoff
61,323.0,90.625,90.625,90.625,90.625,72.5,74.3125,74.3125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,2025-01-02 18:04:19,takeoff
65,323.0,90.625,92.4375,92.4375,92.4375,74.3125,74.3125,72.5,76.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16000.0,2025-01-02 18:04:20,takeoff
69,323.0,94.25,92.4375,90.625,92.4375,74.3125,72.5,76.125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000.0,2025-01-02 18:04:21,takeoff
73,323.0,94.25,92.4375,92.4375,92.4375,74.3125,74.3125,76.125,74.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000.0,2025-01-02 18:04:22,takeoff
