,ALT,BRPR_1,BRPR_2,BRPR_3,BRPR_4,BRPR_5,BRPR_6,BRPR_7,BRPR_8,BRWHSP_1,BRWHSP_2,BRWHSP_3,BRWHSP_4,BRWHSP_5,BRWHSP_6,BRWHSP_7,BRWHSP_8,milliseconds,Time,registration,flight_id,phase
1,,,,,,,,,,,,,,,,,,0.0,2025-01-01 21:33:02,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
21,282.0,163.125,164.9375,163.125,163.125,68.875,68.875,68.875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,2025-01-01 21:33:07,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
41,282.0,92.4375,92.4375,92.4375,92.4375,70.6875,70.6875,70.6875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,2025-01-01 21:33:12,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
61,282.0,92.4375,90.625,94.25,92.4375,70.6875,70.6875,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,2025-01-01 21:33:17,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
81,282.0,94.25,92.4375,92.4375,92.4375,70.6875,70.6875,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,2025-01-01 21:33:22,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
101,282.0,92.4375,92.4375,90.625,92.4375,68.875,72.5,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,2025-01-01 21:33:27,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
121,282.0,92.4375,92.4375,92.4375,90.625,70.6875,68.875,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,2025-01-01 21:33:32,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
141,282.0,92.4375,92.4375,92.4375,92.4375,68.875,70.6875,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,2025-01-01 21:33:37,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
161,282.0,92.4375,92.4375,92.4375,92.4375,70.6875,70.6875,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,2025-01-01 21:33:42,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
181,281.0,99.6875,92.4375,92.4375,92.4375,70.6875,70.6875,70.6875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,2025-01-01 21:33:47,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
201,282.0,92.4375,92.4375,92.4375,92.4375,72.5,70.6875,68.875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,2025-01-01 21:33:52,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
221,282.0,92.4375,90.625,90.625,90.625,70.6875,70.6875,68.875,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,2025-01-01 21:33:57,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
241,281.0,92.4375,92.4375,92.4375,92.4375,68.875,70.6875,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,2025-01-01 21:34:02,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
261,281.0,92.4375,94.25,90.625,90.625,68.875,68.875,70.6875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,2025-01-01 21:34:07,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
281,281.0,92.4375,92.4375,94.25,90.625,68.875,70.6875,70.6875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70000.0,2025-01-01 21:34:12,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
301,281.0,94.25,92.4375,92.4375,92.4375,70.6875,68.875,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,2025-01-01 21:34:17,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
321,281.0,92.4375,92.4375,92.4375,94.25,68.875,68.875,70.6875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,2025-01-01 21:34:22,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
341,281.0,92.4375,94.25,92.4375,90.625,68.875,70.6875,68.875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85000.0,2025-01-01 21:34:27,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
361,281.0,92.4375,92.4375,92.4375,92.4375,68.875,70.6875,70.6875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,2025-01-01 21:34:32,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
381,281.0,94.25,94.25,92.4375,94.25,70.6875,70.6875,70.6875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95000.0,2025-01-01 21:34:37,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
401,282.0,94.25,92.4375,94.25,92.4375,70.6875,72.5,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,2025-01-01 21:34:42,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
421,282.0,94.25,94.25,92.4375,92.4375,70.6875,74.3125,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000.0,2025-01-01 21:34:47,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
441,282.0,94.25,96.0625,92.4375,92.4375,70.6875,72.5,70.6875,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110000.0,2025-01-01 21:34:52,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
461,282.0,96.0625,94.25,94.25,94.25,70.6875,72.5,70.6875,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115000.0,2025-01-01 21:34:57,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
481,283.0,94.25,96.0625,94.25,92.4375,70.6875,74.3125,72.5,70.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120000.0,2025-01-01 21:35:02,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
501,282.0,92.4375,90.625,90.625,90.625,65.25,68.875,67.0625,67.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125000.0,2025-01-01 21:35:07,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
521,283.0,90.625,92.4375,90.625,90.625,68.875,68.875,68.875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130000.0,2025-01-01 21:35:12,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
541,283.0,92.4375,92.4375,90.625,90.625,68.875,68.875,67.0625,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135000.0,2025-01-01 21:35:17,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
561,282.0,92.4375,92.4375,90.625,90.625,68.875,68.875,68.875,67.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,2025-01-01 21:35:22,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
581,282.0,94.25,92.4375,92.4375,92.4375,68.875,68.875,68.875,68.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145000.0,2025-01-01 21:35:27,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
601,283.0,2842.0,2829.313,2838.375,2829.313,2842.0,2851.063,2842.0,2838.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,2025-01-01 21:35:32,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
621,282.0,2959.813,2947.125,2959.813,2948.938,2959.813,2967.063,2958.0,2936.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155000.0,2025-01-01 21:35:37,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
641,282.0,3025.063,3026.875,3037.75,2999.688,3035.938,3041.375,3021.438,3032.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,2025-01-01 21:35:42,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
661,282.0,3081.25,3068.563,3090.313,3079.438,3086.688,3093.938,3084.875,3064.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165000.0,2025-01-01 21:35:47,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
681,282.0,3119.313,3110.25,3122.938,3110.25,3115.688,3119.313,3115.688,3113.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,2025-01-01 21:35:52,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
701,282.0,3137.438,3126.563,3139.25,3128.375,3135.625,3141.063,3132.0,3132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0,2025-01-01 21:35:57,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
721,282.0,3144.688,3133.813,3146.5,3135.625,3144.688,3151.938,3144.688,3141.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,2025-01-01 21:36:02,F-ISAE,2025-01-01 - 21h33 - PA607,takeoff
